day,month,year,ucla,uci,ucsf,ucd,ucsd
1,5,2016,1,1,1,1,1
2,5,2016,1,1,1,1,1
3,5,2016,1,1,1,1,1
4,5,2016,1,1,1,1,1
5,5,2016,1,1,1,1,1
6,5,2016,1,1,1,1,1
7,5,2016,1,1,1,1,1
8,5,2016,1,1,1,1,1
9,5,2016,6,4,4,4,4
10,5,2016,6,4,4,4,4
11,5,2016,6,4,4,4,4
12,5,2016,3,3,3,3,3
13,5,2016,4,4,4,4,4
14,5,2016,1,1,1,1,1
15,5,2016,1,1,1,1,1
16,5,2016,6,4,4,4,4
17,5,2016,6,4,4,4,4
18,5,2016,6,4,4,4,4
19,5,2016,6,4,4,4,4
20,5,2016,3,3,3,3,3
21,5,2016,1,1,1,1,1
22,5,2016,1,1,1,1,1
23,5,2016,4,4,4,4,4
24,5,2016,6,4,4,4,4
25,5,2016,6,4,4,4,4
26,5,2016,3,3,3,3,3
27,5,2016,3,3,3,3,3
28,5,2016,1,1,1,1,1
29,5,2016,1,1,1,1,1
30,5,2016,6,4,4,4,4
31,5,2016,6,4,4,4,4
1,6,2016,6,4,4,4,4
2,6,2016,3,3,3,3,3
3,6,2016,4,4,4,4,4
4,6,2016,1,1,1,1,1
5,6,2016,1,1,1,1,1
6,6,2016,6,4,4,4,4
7,6,2016,6,4,4,4,4
8,6,2016,6,4,4,4,4
9,6,2016,3,3,3,3,3
10,6,2016,1,1,1,1,1
11,6,2016,1,1,1,1,1
12,6,2016,1,1,1,1,1
13,6,2016,1,1,1,1,1
14,6,2016,1,1,1,1,1
15,6,2016,1,1,1,1,1
16,6,2016,1,1,1,1,1
17,6,2016,1,1,1,1,1
18,6,2016,1,1,1,1,1
19,6,2016,1,1,1,1,1
20,6,2016,1,1,1,1,1
21,6,2016,1,1,1,1,1
22,6,2016,1,1,1,1,1
23,6,2016,1,1,1,1,1
24,6,2016,1,1,1,1,1
25,6,2016,1,1,1,1,1
26,6,2016,1,1,1,1,1
27,6,2016,1,1,1,1,1
28,6,2016,1,1,1,1,1
29,6,2016,1,1,1,1,1
30,6,2016,1,1,1,1,1
